종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
138930,BNK금융지주,"6,990","-10","0.14","1,351,887,690","2,278,287,369,540"
001040,CJ,"117,500","1,500","1.29","441,700,000","3,428,297,265,000"
079160,CJ CGV,"40,550","250","0.62","343,053,850","858,091,242,150"
000120,CJ대한통운,"166,500","0","0.00","291,829,500","3,798,255,276,000"
097950,CJ제일제당,"327,500","-3,500","1.06","269,339,500","4,930,245,915,000"
005830,DB손해보험,"69,200","-300","0.43","397,004,600","4,899,360,000,000"
006360,GS건설,"41,850","-300","0.71","1,979,272,350","3,318,581,458,800"
007070,GS리테일,"39,250","0","0.00","380,735,000","3,022,250,000,000"
012630,HDC,"16,400","-150","0.91","442,017,100","979,764,224,400"
001060,JW중외제약,"40,450","-550","1.34","226,011,100","801,130,857,000"
105560,KB금융,"46,400","450","0.98","8,339,701,100","19,400,375,316,800"
002380,KCC,"310,000","1,500","0.49","339,266,000","3,272,519,030,000"
030200,KT,"30,450","50","0.16","991,262,250","7,950,854,553,600"
003550,LG,"69,100","1,000","1.47","989,073,900","11,923,697,752,100"
034220,LG디스플레이,"17,650","-150","0.84","3,448,916,250","6,315,447,105,000"
001120,LG상사,"15,500","150","0.98","171,963,800","600,780,000,000"
051900,LG생활건강,"1,099,000","18,000","1.67","2,376,942,000","17,164,398,503,000"
032640,LG유플러스,"17,900","-50","0.28","2,552,890,650","7,815,343,361,900"
011070,LG이노텍,"80,300","-3,400","4.06","8,940,984,100","1,900,468,692,100"
066570,LG전자,"62,900","100","0.16","3,810,923,400","10,293,447,500,600"
108670,LG하우시스,"55,200","-900","1.60","58,414,500","495,015,384,000"
051910,LG화학,"336,500","-500","0.15","11,108,447,000","23,754,323,419,500"
010120,LS산전,"47,300","-100","0.21","239,553,000","1,419,000,000,000"
035420,NAVER,"121,500","3,500","2.97","6,659,421,000","20,024,827,492,500"
005940,NH투자증권,"12,400","50","0.40","678,492,450","3,489,470,198,800"
010060,OCI,"97,100","-9,400","8.83","12,987,375,400","2,315,773,924,100"
005490,POSCO,"231,000","-6,000","2.53","13,191,947,000","20,140,158,885,000"
010950,S-Oil,"90,700","-600","0.66","3,234,004,400","10,211,259,234,400"
034730,SK,"252,000","0","0.00","1,255,025,500","17,730,794,844,000"
011790,SKC,"35,350","-100","0.28","128,283,050","1,326,846,519,250"
001740,SK네트웍스,"5,450","270","5.21","4,112,407,430","1,352,622,676,150"
096770,SK이노베이션,"167,000","-2,000","1.18","5,660,409,500","15,441,749,188,000"
017670,SK텔레콤,"272,500","0","0.00","5,076,915,000","22,003,206,247,500"
000660,SK하이닉스,"58,400","-2,200","3.63","48,885,909,400","42,515,338,116,000"
005610,SPC삼립,"124,500","-1,000","0.80","31,742,500","1,074,311,620,500"
073240,금호타이어,"5,230","30","0.58","93,298,750","1,502,371,301,010"
000270,기아차,"32,400","-400","1.22","6,016,222,100","13,133,772,442,800"
024110,기업은행,"13,600","50","0.37","1,236,507,700","7,615,711,884,000"
019680,대교,"6,650","-20","0.30","5,178,590","563,273,952,500"
000210,대림산업,"96,000","-400","0.41","2,484,181,600","3,340,800,000,000"
047040,대우건설,"5,440","0","0.00","371,485,150","2,260,987,150,720"
042660,대우조선해양,"33,500","200","0.60","2,050,422,800","3,591,392,692,000"
000150,두산,"104,000","-500","0.48","241,748,000","1,896,762,608,000"
241560,두산밥캣,"30,800","100","0.33","300,001,650","3,087,674,312,800"
042670,두산인프라코어,"7,370","40","0.55","1,186,087,850","1,534,122,897,560"
034020,두산중공업,"9,540","90","0.95","961,488,040","1,117,580,500,620"
023530,롯데쇼핑,"202,500","0","0.00","835,454,500","5,728,472,887,500"
004000,롯데정밀화학,"39,450","-1,000","2.47","476,392,250","1,017,810,000,000"
011170,롯데케미칼,"267,000","-8,000","2.91","5,143,632,000","9,151,536,873,000"
002270,롯데푸드,"702,000","1,000","0.14","46,263,000","794,572,740,000"
071840,롯데하이마트,"46,000","-300","0.65","143,307,250","1,085,954,752,000"
204320,만도,"28,850","0","0.00","753,762,600","1,354,712,912,000"
008560,메리츠종금증권,"4,085","10","0.25","462,758,055","2,474,043,779,120"
006800,미래에셋대우,"6,360","-10","0.16","950,907,660","4,186,892,354,880"
005180,빙그레,"71,100","0","0.00","79,912,600","700,423,235,100"
006400,삼성SDI,"205,500","-5,000","2.38","23,547,391,500","14,131,110,915,000"
028260,삼성물산,"105,000","1,000","0.96","1,505,947,500","19,917,454,515,000"
032830,삼성생명,"80,300","0","0.00","832,733,900","16,060,000,000,000"
018260,삼성에스디에스,"208,500","2,500","1.21","2,255,429,500","16,133,271,300,000"
028050,삼성엔지니어링,"17,400","-50","0.29","1,158,889,300","3,410,400,000,000"
009150,삼성전기,"96,500","-3,500","3.50","54,355,429,600","7,207,941,664,000"
005930,삼성전자,"38,150","-600","1.55","66,549,487,150","227,747,204,282,500"
010140,삼성중공업,"7,400","160","2.21","3,267,380,220","4,662,000,000,000"
016360,삼성증권,"31,050","-200","0.64","472,552,800","2,772,765,000,000"
000810,삼성화재,"265,000","500","0.19","1,491,464,000","12,554,331,805,000"
004170,신세계,"248,000","0","0.00","1,908,901,500","2,441,604,888,000"
055550,신한지주,"39,150","-250","0.63","4,017,794,300","18,564,913,831,050"
003410,쌍용양회,"6,100","-10","0.16","459,751,280","3,073,543,529,500"
002790,아모레G,"70,100","2,200","3.24","1,754,058,200","5,780,318,418,000"
090430,아모레퍼시픽,"196,500","3,000","1.55","6,219,161,000","11,487,093,285,000"
007310,오뚜기,"717,000","1,000","0.14","118,141,000","2,584,954,929,000"
000030,우리은행,"15,500","100","0.65","1,761,593,350","10,478,000,000,000"
000100,유한양행,"209,500","500","0.24","1,201,617,500","2,557,859,663,000"
214320,이노션,"62,300","400","0.65","54,107,100","1,246,000,000,000"
139480,이마트,"183,500","3,500","1.94","1,419,795,500","5,115,212,786,500"
021240,코웨이,"75,500","1,100","1.48","1,127,581,000","5,571,871,234,500"
047050,포스코대우,"17,700","100","0.57","381,420,300","2,183,740,137,300"
086790,하나금융지주,"35,700","-450","1.24","3,031,998,700","10,718,641,613,400"
036460,한국가스공사,"46,650","300","0.65","870,903,150","4,306,401,450,000"
071050,한국금융지주,"56,600","-300","0.53","852,153,000","3,154,091,147,200"
015760,한국전력,"34,900","850","2.50","9,264,550,850","22,404,546,287,300"
161390,한국타이어,"40,300","-450","1.10","803,900,000","4,992,165,280,700"
000240,한국타이어월드와이드,"16,950","100","0.59","29,032,600","1,576,691,932,350"
060980,한라홀딩스,"45,000","650","1.47","85,653,250","486,121,095,000"
018880,한온시스템,"10,500","0","0.00","1,010,890,900","5,604,900,000,000"
051600,한전KPS,"32,100","-300","0.93","399,075,150","1,444,500,000,000"
052690,한전기술,"21,000","250","1.20","194,737,400","802,620,000,000"
088350,한화생명,"4,180","-35","0.83","289,518,640","3,630,455,400,000"
009830,한화케미칼,"18,750","-1,050","5.30","5,142,688,850","3,058,319,887,500"
000720,현대건설,"52,800","-300","0.56","5,180,972,300","5,879,584,392,000"
005440,현대그린푸드,"14,350","50","0.35","132,701,400","1,402,059,316,700"
086280,현대글로비스,"127,500","2,000","1.59","320,511,500","4,781,250,000,000"
012330,현대모비스,"189,000","4,000","2.16","3,361,006,000","18,397,990,107,000"
010620,현대미포조선,"61,700","2,900","4.93","6,255,606,400","2,464,430,593,300"
017800,현대엘리베이,"103,000","-500","0.48","13,013,150,500","2,797,301,398,000"
011210,현대위아,"36,100","500","1.40","280,307,200","981,742,496,300"
