종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
138930,BNK금융지주,"7,010","10","0.14","1,816,129,250","2,284,806,074,460"
001040,CJ,"116,500","500","0.43","899,556,000","3,399,120,267,000"
079160,CJ CGV,"40,400","100","0.25","686,491,450","854,917,045,200"
000120,CJ대한통운,"166,000","-500","0.30","501,976,500","3,786,849,104,000"
097950,CJ제일제당,"326,000","-5,000","1.51","702,272,000","4,907,664,636,000"
005830,DB손해보험,"69,600","100","0.14","810,726,200","4,927,680,000,000"
006360,GS건설,"41,700","-450","1.07","3,952,349,650","3,306,686,901,600"
007070,GS리테일,"39,300","50","0.13","533,686,900","3,026,100,000,000"
012630,HDC,"16,250","-300","1.81","1,152,487,050","970,802,966,250"
001060,JW중외제약,"40,200","-800","1.95","529,346,600","796,179,492,000"
105560,KB금융,"46,450","500","1.09","13,064,924,700","19,421,280,893,650"
002380,KCC,"311,500","3,000","0.97","578,608,500","3,288,353,799,500"
030200,KT,"30,350","-50","0.16","2,045,494,700","7,924,743,372,800"
003550,LG,"69,000","900","1.32","1,338,875,700","11,906,442,039,000"
034220,LG디스플레이,"17,800","0","0.00","5,103,095,850","6,369,119,460,000"
001120,LG상사,"15,300","-50","0.33","263,435,100","593,028,000,000"
051900,LG생활건강,"1,094,000","13,000","1.20","3,698,542,000","17,086,307,518,000"
032640,LG유플러스,"18,100","150","0.84","4,649,332,550","7,902,665,634,100"
011070,LG이노텍,"80,800","-2,900","3.46","13,028,509,800","1,912,302,245,600"
066570,LG전자,"63,000","200","0.32","5,414,126,900","10,309,812,282,000"
108670,LG하우시스,"54,700","-1,400","2.50","247,310,700","490,531,549,000"
051910,LG화학,"334,000","-3,000","0.89","15,591,289,000","23,577,842,562,000"
010120,LS산전,"46,550","-850","1.79","670,671,300","1,396,500,000,000"
035420,NAVER,"122,500","4,500","3.81","9,410,436,500","20,189,640,887,500"
005940,NH투자증권,"12,450","100","0.81","1,015,859,150","3,503,540,643,150"
010060,OCI,"97,000","-9,500","8.92","17,828,197,300","2,313,388,987,000"
005490,POSCO,"234,500","-2,500","1.05","17,964,312,000","20,445,312,807,500"
010950,S-Oil,"91,600","300","0.33","5,174,617,200","10,312,583,747,200"
034730,SK,"252,000","0","0.00","2,056,006,000","17,730,794,844,000"
011790,SKC,"35,400","-50","0.14","311,133,850","1,328,723,247,000"
001740,SK네트웍스,"5,490","310","5.98","8,331,465,510","1,362,550,182,030"
096770,SK이노베이션,"169,000","0","0.00","8,083,703,500","15,626,680,316,000"
017670,SK텔레콤,"273,500","1,000","0.37","7,409,424,000","22,083,951,958,500"
000660,SK하이닉스,"58,500","-2,100","3.47","57,706,323,500","42,588,138,352,500"
005610,SPC삼립,"125,000","-500","0.40","55,668,000","1,078,626,125,000"
073240,금호타이어,"5,200","0","0.00","204,492,360","1,493,753,492,400"
000270,기아차,"32,800","0","0.00","8,897,049,350","13,295,917,781,600"
024110,기업은행,"13,650","100","0.74","3,877,962,850","7,643,710,824,750"
019680,대교,"6,650","-20","0.30","14,254,400","563,273,952,500"
000210,대림산업,"96,500","100","0.10","4,435,059,000","3,358,200,000,000"
047040,대우건설,"5,350","-90","1.65","1,229,332,690","2,223,581,113,300"
042660,대우조선해양,"33,500","200","0.60","3,551,754,350","3,591,392,692,000"
000150,두산,"103,000","-1,500","1.44","728,269,500","1,878,524,506,000"
241560,두산밥캣,"30,700","0","0.00","586,128,250","3,077,649,396,200"
042670,두산인프라코어,"7,400","70","0.95","1,897,261,290","1,540,367,631,200"
034020,두산중공업,"9,480","30","0.32","1,371,608,240","1,110,551,692,440"
023530,롯데쇼핑,"203,000","500","0.25","1,321,964,000","5,742,617,265,000"
004000,롯데정밀화학,"39,550","-900","2.22","736,475,900","1,020,390,000,000"
011170,롯데케미칼,"267,500","-7,500","2.73","7,188,033,500","9,168,674,582,500"
002270,롯데푸드,"696,000","-5,000","0.71","74,924,000","787,781,520,000"
071840,롯데하이마트,"45,950","-350","0.76","236,777,500","1,084,774,366,400"
